state_code,county_code,site_num,parameter_code,POC,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_MDL,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_NO_max_datetime,second_max_non_overlapping_value,second_NO_max_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,address,state_name,county_name,city_name,CBSA_name,date_of_last_change
26,163,1013,88101,1,42.388405,-82.979793,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,61,17,N,61,365,0,0,,,Certification not required,0,7.854098,3.388735,16.9,2/1/2023 0:00,16.9,3/2/2023 0:00,14.6,2/8/2023 0:00,12.9,3/22/2023 0:00,,,,,16.9,16.9,12.9,12.1,9.9,7.6,3.7,Stellantis-FCA Mack Avenue Assembly Plant Fiat Chrylser Automobiles,11570 Warren Ave (Stellantis/FCA),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",8/21/2023
26,161,8,88101,3,42.240565,-83.599602,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,80,22,N,80,365,0,0,,,Certified,0,11.4225,6.569684,30,11/3/2022 0:00,30,12/7/2022 0:00,28.8,11/24/2022 0:00,27,11/23/2022 0:00,,,,,30,30,27,20.5,15.5,9.9,5,"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",555 TOWNER ST (YPSILANTI),Michigan,Washtenaw,Ypsilanti,"Ann Arbor, MI",3/23/2023
26,125,1,88101,1,42.463063,-83.183199,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,5,0,0,Certified,0,6.833621,4.453879,23.9,12/7/2022 0:00,23.3,3/15/2022 0:00,21.9,7/4/2022 0:00,21.3,2/1/2022 0:00,,,,,23.3,21.9,15.3,12.4,8,6.2,2.2,Oak Park,13701 OAK PARK BLVD (OAK PARK),Michigan,Oakland,Oak Park,"Detroit-Warren-Dearborn, MI",4/24/2023
26,163,1,88101,1,42.22862,-83.2082,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,318,87,N,318,365,0,0,,,Was Certified but data changed,0,8.716667,4.996258,31.9,11/2/2022 0:00,31.4,1/31/2022 0:00,29.6,11/3/2022 0:00,27.8,12/7/2022 0:00,,,,,27.8,25.4,19.5,14.4,10,7.4,4.1,Allen Park,14700 GODDARD (ALLEN PARK),Michigan,Wayne,Allen Park,"Detroit-Warren-Dearborn, MI",6/26/2023
26,163,15,88101,2,42.302786,-83.10653,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,337,92,N,337,365,0,0,,,Was Certified but data changed,0,12.880119,7.004228,45.6,1/31/2022 0:00,45.4,3/15/2022 0:00,42.4,3/17/2022 0:00,38.8,3/16/2022 0:00,,,,,38.8,34,26.4,21.3,15.7,11,6.1,Southwestern H.S.,150 WATERMAN (DETROIT-SW),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",6/26/2023
26,163,19,88101,1,42.43084,-83.000138,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,114,93,Y,114,122,0,3,0,0,Certified,0,7.131579,4.565692,25.2,3/15/2022 0:00,24.6,12/7/2022 0:00,19.8,4/5/2022 0:00,19.4,2/1/2022 0:00,,,,,24.6,19.8,17.9,12,8.9,6.2,2.4,East 7 Mile,11600 EAST SEVEN MILE RD (DETROIT-E7M),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/24/2023
26,163,33,88101,1,42.306674,-83.148754,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2022,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,6,0,0,Certified,0,9.335185,5.334096,27.4,3/15/2022 0:00,27.4,12/7/2022 0:00,25.3,2/4/2022 0:00,24.1,7/4/2022 0:00,,,,,27.4,25.3,19.7,15.3,12,8.2,3.6,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,2842 WYOMING (DEARBORN),Michigan,Wayne,Dearborn,"Detroit-Warren-Dearborn, MI",4/26/2023
26,163,93,88101,1,42.385998,-83.266189,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,359,98,Y,359,365,0,0,,,Certified,0,10.91922,5.854024,48.6,8/29/2022 0:00,47.4,8/17/2022 0:00,38.9,1/31/2022 0:00,30.3,11/24/2022 0:00,,,,,30.3,28.5,22.7,17,12.1,9.6,5.7,ELIZA-NR,23751 FENKELL ST (ELIZA HOWELL-NR),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",6/26/2023
26,163,97,88101,1,42.261669,-83.157893,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,363,99,Y,363,365,0,0,,,Certified,0,9.507163,5.292578,38.9,11/2/2022 0:00,32.8,3/15/2022 0:00,30.4,11/24/2022 0:00,30,12/7/2022 0:00,,,,,30,25.6,20,16,11.3,8.2,4.5,NMH48217 NEW MT HERMAN CHURCH,3225 S DEACON ST (NMH48217),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/23/2023
26,163,98,88101,1,42.312158,-83.091943,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,365,100,Y,365,365,0,0,,,Certified,0,9.771781,5.216368,38.1,11/2/2022 0:00,32.8,11/3/2022 0:00,31,1/31/2022 0:00,30,3/15/2022 0:00,,,,,30,26.4,19.6,16,11.8,8.5,5,DP4th - Detroit Police 4th Precinct (GHIB),4700 W FORT ST (DP4TH - GHIB),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/23/2023
26,163,99,88101,1,42.295824,-83.129431,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,364,100,Y,364,365,0,0,,,Certified,0,11.958242,6.368514,47.7,11/2/2022 0:00,43,1/31/2022 0:00,40,11/3/2022 0:00,37.5,11/24/2022 0:00,,,,,37.5,32.5,23.5,19.3,14.3,10.3,6.2,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),9191 W FORT ST (TRINITY),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/23/2023
26,163,100,88101,1,42.312078,-83.103469,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,358,98,Y,358,365,0,0,,,Certified,0,10.913687,5.998833,39.7,11/2/2022 0:00,37,12/21/2022 0:00,36.4,1/31/2022 0:00,35,11/3/2022 0:00,,,,,35,30.7,22.1,18.4,13.2,9.3,5.4,Military Park (GHIB),1238 MILITARY ST (MILITARY PARK),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/23/2023
26,163,1013,88101,1,42.388405,-82.979793,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,343,50,N,181,365,0,0,,,Certification not required,0,6.596793,4.207334,29.2,1/31/2022 0:00,24.3,3/15/2022 0:00,22.7,11/2/2022 0:00,21.3,12/7/2022 0:00,,,,,24.3,21.3,18.5,15.4,10.7,7.8,5.8,Stellantis-FCA Mack Avenue Assembly Plant Fiat Chrylser Automobiles,11570 Warren Ave (Stellantis/FCA),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",6/16/2023
26,125,1,88101,1,42.463063,-83.183199,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,115,93,Y,113,122,0,28,0,0,Certified,0,8.16087,5.009862,25.8,2/21/2021 0:00,19.5,8/8/2021 0:00,18.5,1/1/2021 0:00,18.5,1/4/2021 0:00,,,,,19.5,18.5,17.5,15.8,11.2,7.8,2.7,Oak Park,13701 OAK PARK BLVD (OAK PARK),Michigan,Oakland,Oak Park,"Detroit-Warren-Dearborn, MI",4/27/2022
26,161,8,88101,1,42.240565,-83.599602,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,356,98,Y,356,365,0,0,,,Certified,0,8.855056,4.201616,26.4,7/4/2021 0:00,22.6,2/21/2021 0:00,22.2,2/20/2021 0:00,19.7,12/14/2021 0:00,,,,,19.7,17.8,17.1,15.6,11.1,8.1,4.2,"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",555 TOWNER ST (YPSILANTI),Michigan,Washtenaw,Ypsilanti,"Ann Arbor, MI",4/27/2022
26,163,1,88101,1,42.22862,-83.2082,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,362,99,Y,362,365,0,0,,,Certified,0,10.646685,5.405302,33.2,2/20/2021 0:00,32.6,7/19/2021 0:00,31,7/4/2021 0:00,29.6,2/21/2021 0:00,,,,,29.6,22.7,21.2,18.6,13,9.5,5,Allen Park,14700 GODDARD (ALLEN PARK),Michigan,Wayne,Allen Park,"Detroit-Warren-Dearborn, MI",3/3/2022
26,163,15,88101,2,42.302786,-83.10653,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,363,99,Y,363,365,0,0,,,Certified,0,11.793388,5.9883,35.2,11/7/2021 0:00,32.7,11/8/2021 0:00,31.3,2/20/2021 0:00,30.3,7/19/2021 0:00,,,,,30.3,28.6,24.4,19.9,15.2,10.2,5.6,Southwestern H.S.,150 WATERMAN (DETROIT-SW),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/19/2022
26,163,19,88101,1,42.43084,-83.000138,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,117,95,Y,116,122,0,25,0,0,Certified,0,8.230769,4.630827,20.4,8/20/2021 0:00,20,1/13/2021 0:00,18.9,7/24/2021 0:00,18.7,8/8/2021 0:00,,,,,20,18.9,16.9,15,10.8,7.6,2.8,East 7 Mile,11600 EAST SEVEN MILE RD (DETROIT-E7M),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",5/2/2022
26,163,33,88101,1,42.306674,-83.148754,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,108,89,Y,108,122,0,35,0,0,Certified,0,10.287037,5.409357,28,1/13/2021 0:00,27,2/21/2021 0:00,22.3,7/24/2021 0:00,21.4,12/21/2021 0:00,,,,,27,22.3,19,17.8,13.9,9.7,4.1,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,2842 WYOMING (DEARBORN),Michigan,Wayne,Dearborn,"Detroit-Warren-Dearborn, MI",4/27/2022
26,163,93,88101,1,42.385998,-83.266189,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,324,89,N,324,365,0,0,,,Certified,0,11.465741,5.481686,40.8,7/4/2021 0:00,34.1,2/21/2021 0:00,29.3,2/20/2021 0:00,28.3,2/26/2021 0:00,,,,,28.3,24.3,21.9,19.9,14.3,10.1,5.9,ELIZA-NR,23751 FENKELL ST (ELIZA HOWELL-NR),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",3/3/2022
26,163,97,88101,1,42.261669,-83.157893,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,150,41,N,150,365,0,0,,,Certified,0,9.858,4.462014,23.9,11/7/2021 0:00,22.4,11/6/2021 0:00,21.6,10/24/2021 0:00,20.5,12/30/2021 0:00,,,,,22.4,21.6,19.3,16.7,11.8,9.1,5,NMH48217 NEW MT HERMAN CHURCH,3225 S DEACON ST (NMH48217),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/21/2022
26,163,98,88101,1,42.312158,-83.091943,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,361,99,Y,361,365,0,0,,,Certified,0,11.141551,5.262297,32.2,7/19/2021 0:00,30.8,2/20/2021 0:00,29.4,4/4/2021 0:00,28.3,7/20/2021 0:00,,,,,28.3,24.2,21.1,18.9,13.7,10.1,5.5,DP4th - Detroit Police 4th Precinct (GHIB),4700 W FORT ST (DP4TH - GHIB),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/19/2022
26,163,99,88101,1,42.295824,-83.129431,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,363,99,Y,363,365,0,0,,,Certified,0,12.422314,5.589199,33.1,7/19/2021 0:00,32,4/7/2021 0:00,31.7,2/20/2021 0:00,31.3,11/6/2021 0:00,,,,,31.3,28.3,22.3,19.7,15.3,11.5,6.5,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),9191 W FORT ST (TRINITY),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/21/2022
26,163,100,88101,1,42.312078,-83.103469,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,363,99,Y,363,365,0,0,,,Certified,0,11.20303,5.515735,32.7,5/17/2021 0:00,31,7/19/2021 0:00,30,1/10/2021 0:00,29.7,2/20/2021 0:00,,,,,29.7,27.2,21.9,18.4,13.7,10,5.6,Military Park (GHIB),1238 MILITARY ST (MILITARY PARK),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",4/21/2022
26,163,1013,88101,1,42.388405,-82.979793,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2021,Micrograms/cubic meter (LC),No Events,354,97,Y,354,365,0,0,,,Certification not required,0,7.133898,4.069751,24.4,2/20/2021 0:00,23.6,2/21/2021 0:00,23.4,7/20/2021 0:00,20.5,7/19/2021 0:00,,,,,20.5,17.7,15.2,13,9.4,6,3,Stellantis-FCA Mack Avenue Assembly Plant Fiat Chrylser Automobiles,11570 Warren Ave (Stellantis/FCA),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",2/24/2023
26,125,1,88101,1,42.463063,-83.183199,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,113,92,Y,112,122,0,31,0,0,Certified,0,7.461062,4.929076,29,12/11/2020 0:00,25.3,11/8/2020 0:00,23.3,7/5/2020 0:00,17.7,6/20/2020 0:00,,,,,25.3,23.3,16.9,13.6,9.3,6.4,2.6,Oak Park,13701 OAK PARK BLVD (OAK PARK),Michigan,Oakland,Oak Park,"Detroit-Warren-Dearborn, MI",10/31/2021
26,161,8,88101,3,42.240565,-83.599602,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2020,Micrograms/cubic meter (LC),No Events,365,100,Y,365,366,0,0,,,Certified,0,8.219452,5.224375,67.8,7/5/2020 0:00,34.2,11/8/2020 0:00,31.8,12/11/2020 0:00,27.9,12/10/2020 0:00,,,,,27.9,19.8,14.4,13.3,10.1,7,4.1,"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",555 TOWNER ST (YPSILANTI),Michigan,Washtenaw,Ypsilanti,"Ann Arbor, MI",10/31/2021
26,163,1,88101,1,42.22862,-83.2082,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,119,96,Y,117,122,0,29,0,0,Certified,0,7.476471,5.618111,41.9,7/5/2020 0:00,29.4,12/11/2020 0:00,26.3,11/8/2020 0:00,18.2,2/24/2020 0:00,,,,,29.4,26.3,16.2,13.7,9.3,6.3,2.8,Allen Park,14700 GODDARD (ALLEN PARK),Michigan,Wayne,Allen Park,"Detroit-Warren-Dearborn, MI",10/31/2021
26,163,15,88101,1,42.302786,-83.10653,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,122,100,Y,122,122,0,26,0,0,Certified,0,8.39918,4.690319,30.3,12/11/2020 0:00,26.8,7/5/2020 0:00,19.5,2/24/2020 0:00,17.6,12/20/2020 0:00,,,,,26.8,19.5,16.6,14.3,10.3,7.5,3.6,Southwestern H.S.,150 WATERMAN (DETROIT-SW),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",5/2/2022
26,163,19,88101,1,42.43084,-83.000138,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,119,95,Y,116,122,0,32,0,0,Certified,0,7.529412,4.472351,28.4,7/5/2020 0:00,17.9,6/17/2020 0:00,17.7,7/20/2020 0:00,17,1/22/2020 0:00,,,,,17.9,17.7,16.8,14.2,9.2,6.9,3,East 7 Mile,11600 EAST SEVEN MILE RD (DETROIT-E7M),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",5/2/2022
26,163,33,88101,1,42.306674,-83.148754,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,31,0,0,Certified,0,9.423333,5.451817,37.6,7/5/2020 0:00,30.4,12/11/2020 0:00,21,11/6/2020 0:00,21,12/20/2020 0:00,,,,,30.4,21,19.6,17.1,11.3,8.6,4.3,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,2842 WYOMING (DEARBORN),Michigan,Wayne,Dearborn,"Detroit-Warren-Dearborn, MI",10/31/2021
26,163,93,88101,3,42.385998,-83.266189,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2020,Micrograms/cubic meter (LC),No Events,356,97,Y,356,366,0,0,,,Certified,0,10.605337,7.326387,108.9,7/5/2020 0:00,45.8,11/8/2020 0:00,40.7,7/4/2020 0:00,34.2,12/11/2020 0:00,,,,,34.2,23.2,19.6,15.5,12.7,9.3,5.4,ELIZA-NR,23751 FENKELL ST (ELIZA HOWELL-NR),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",10/31/2021
